number,control,word,label
236, 0.5, forget, 1
237, 0.5, live, 1
238, 0.0, Haha, 1
239, 0.0, lol, 1
240, 0.25, bastard, 1
241, 0.75, return, 1
242, 0.0, Haha, 1
243, 0.0, sux, 1
244, 0.5, know, 1
245, 0.0, ptooey, 1
246, 0.0, what, 1
247, 0.0, wid, 1
248, 0.0, tonite, 1
249, 0.5455, let, 1
250, 0.8889, check, 1
251, 0.5, c, 1
252, 0.0, wat, 1
253, 0.6667, time, 1
254, 0.75, leave, 1
255, 0.0, Mmkay, 1
256, 0.5455, let, 1
257, 0.5, know, 1
258, 0.4286, couple, 1
259, 0.4615, hr, 1
260, 0.8235, go, 1
261, 0.6667, get, 1
262, 0.2105, mike, 1
263, 0.7059, call, 1
264, 0.75, meet, 1
265, 0.3529, yay, 1
266, 0.7059, call, 1
267, 0.4, K, 1
268, 0.0, wat, 1
269, 0.4, digit, 1
270, 0.0, Kewl, 1
271, 0.0, Dave, 1
272, 1.0, rite, 1
273, 0.0, Yep, 1
274, 0.8235, go, 1
275, 0.8, want, 1
276, 0.5, be, 1
277, 0.0, Kewl, 1
278, 0.75, wait, 1
279, 0.6316, kill, 1
280, 0.2353, boy, 1
281, 0.0, shoiw, 1
282, 0.5, be, 1
283, 0.6667, home, 1
284, 0.0, baout, 1
285, 0.0, bro, 1
286, 0.2105, sis, 1
287, 0.0, dont, 1
288, 0.75, have, 1
289, 0.4, ne, 1
290, 0.7143, Hope, 1
291, 0.0, dont, 1
292, 0.6667, chase, 1
293, 0.2857, broom, 1
294, 0.75, have, 1
295, 0.0, hosue, 1
296, 0.5, be, 1
297, 0.0, sleve, 1
298, 0.0, Haha, 1
299, 0.0, Haha, 1
300, 0.0, Kool, 1
301, 0.0, coudl, 1
302, 0.5882, do, 1
303, 0.8, want, 1
304, 0.0, ncie, 1
305, 0.0, Cept, 1
306, 0.8235, start, 1
307, 0.7778, fire, 1
308, 0.7778, house, 1
309, 0.0, lol, 1
310, 0.0, Haha, 1
311, 0.5333, idea, 1
312, 0.0, lol, 1
313, 0.0, kewl, 1
314, 0.5, wit, 1
315, 0.5, be, 1
316, 0.0, dont, 1
317, 0.6667, get, 1
318, 0.8235, trouble, 1
319, 0.5, be, 1
320, 0.5, cool, 1
321, 0.0, wid, 1
322, 0.4, k, 1
323, 0.5, bring, 1
324, 0.25, Pizza, 1
325, 0.6667, movie, 1
326, 0.0, Wat, 1
327, 0.25, wan, 1
328, 0.5, bring, 1
329, 0.2857, domino, 1
330, 0.0, kinda, 1
331, 0.6667, movie, 1
332, 0.25, Pizza, 1
333, 0.8235, Porn, 1
334, 0.0, Hahaha, 1
335, 0.6667, get, 1
336, 0.8235, porn, 1
337, 0.0, lol, 1
338, 0.5882, do, 1
339, 0.875, try, 1
340, 0.3333, seduce, 1
341, 0.5, bring, 1
342, 0.0, lol, 1
343, 0.3333, seduce, 1
344, 0.0, Haha, 1
345, 0.0, hahha, 1
346, 0.0, pizzza, 1
347, 0.8889, check, 1
348, 0.2105, mike, 1
349, 0.8889, check, 1
350, 0.8235, Porn, 1
351, 0.8889, check, 1
352, 0.0, Haha, 1
353, 0.6, guy, 1
354, 0.5, be, 1
355, 0.5, know, 1
356, 0.5, be, 1
357, 0.6, bunch, 1
358, 0.375, d, 1
359, 0.5, be, 1
360, 0.7059, self, 1
361, 0.3333, proclaim, 1
362, 0.0, Haha, 1
363, 0.0, Haha, 1
364, 0.5, think, 1
365, 0.5, be, 1
366, 0.875, fun, 1
367, 0.0, tonite, 1
368, 0.7143, hope, 1
369, 0.0, lol, 1
370, 0.7143, hope, 1
371, 0.0, Hehe, 1
372, 0.3333, neighbor, 1
373, 0.0, aint, 1
374, 0.0, gon, 1
375, 0.6, rat, 1
376, 0.5, be, 1
377, 0.5455, let, 1
378, 0.7143, hope, 1
379, 0.75, leave, 1
380, 0.0, nah, 1
381, 0.4, k, 1
382, 0.5882, do, 1
383, 0.6, pack, 1
384, 0.5882, do, 1
385, 0.6667, see, 1
386, 0.0, Thats, 1
387, 0.6667, sign, 1
388, 0.1818, Lem, 1
389, 0.6667, get, 1
390, 0.625, bit, 1
391, 0.5, c, 1
392, 0.0, wat, 1
393, 0.8, find, 1
394, 0.0, Okie, 1
395, 0.0, dokie, 1
396, 0.0, aint, 1
397, 0.7059, call, 1
398, 0.0, Mmkay, 1
399, 0.0, sweety, 1
400, 0.6316, bye, 1
401, 0.6316, bye, 1
402, 0.8, news, 1
403, 0.4, man, 1
404, 0.0, rnt, 1
405, 0.0, til, 1
406, 0.5714, tomorrow, 1
407, 0.0, Sowry, 1
408, 0.4211, noon, 1
409, 0.0, Mebbe, 1
410, 0.2353, tom, 1
411, 0.6667, sound, 1
412, 0.0, Kewl, 1
413, 0.0, yep, 1
414, 0.0, nothin, 1
415, 0.0, Wat, 1
416, 0.0, doin, 1
417, 0.0, Wonderin, 1
418, 0.8, wear, 1
419, 0.0, ooop, 1
420, 0.5, mean, 1
421, 0.0, lol, 1
422, 0.0, Haha, 1
423, 0.0, Kiddin, 1
424, 0.0, Wat, 1
425, 0.0, wearin, 1
426, 0.0, watchin, 1
427, 0.2222, tv, 1
428, 0.1538, shorts, 1
429, 0.0, freakin, 1
430, 0.5, know, 1
431, 0.7, bout, 1
432, 0.0, lol, 1
433, 0.1538, shorts, 1
434, 0.375, t, 1
435, 0.0, Kewl, 1
436, 0.0, Alwayz, 1
437, 0.0, lol, 1
438, 0.0, Hehe, 1
