number,control,word,label
243, 0.7778, taste, 1
244, 0.4444, kind, 1
245, 0.0, yah, 1
246, 0.5, be, 1
247, 0.625, say, 1
248, 0.7778, taste, 1
249, 0.7778, taste, 1
250, 0.4, seem, 1
251, 0.0, thatd, 1
252, 0.5, be, 1
253, 0.4444, kind, 1
254, 0.0, fu, 1
255, 0.875, fun, 1
256, 0.6, tell, 1
257, 0.625, bit, 1
258, 0.5882, do, 1
259, 0.6, guy, 1
260, 0.5882, do, 1
261, 0.0, that, 1
262, 0.5, cool, 1
263, 0.0, tkae, 1
264, 0.875, practice, 1
265, 0.25, wan, 1
266, 0.5, be, 1
267, 0.0, that, 1
268, 0.5, cool, 1
269, 0.5, think, 1
270, 0.0, dunno, 1
271, 0.5, be, 1
272, 0.4, suppose, 1
273, 0.5882, do, 1
274, 0.0, lol, 1
275, 0.4, eat, 1
276, 0.0, that, 1
277, 0.5, be, 1
278, 0.5455, kid, 1
279, 0.5, come, 1
280, 0.5, be, 1
281, 0.5, think, 1
282, 0.0, Uhhuh, 1
283, 0.4444, kind, 1
284, 0.625, say, 1
285, 0.0, lol, 1
286, 1.0, bet, 1
287, 0.8, feel, 1
288, 0.4, ok, 1
289, 0.0, lol, 1
290, 0.4, ok, 1
291, 0.5882, do, 1
292, 0.5, wont, 1
293, 0.5882, do, 1
294, 0.0, anything, 1
295, 0.4, ok, 1
296, 0.0, dunno, 1
297, 0.5, think, 1
298, 0.8, want, 1
299, 0.0, kidna, 1
300, 0.0, kinda, 1
301, 0.625, bit, 1
302, 0.6667, sound, 1
303, 0.4, thigh, 1
304, 0.7059, mesh, 1
305, 0.0, onse, 1
306, 0.4211, one, 1
307, 0.75, tickle, 1
308, 0.4444, kind, 1
309, 0.6667, sound, 1
310, 0.0, couldnt, 1
311, 0.6667, reach, 1
312, 0.4, thigh, 1
313, 0.4286, guess, 1
314, 0.5, be, 1
315, 0.0, kinda, 1
316, 0.5, know, 1
317, 0.5, be, 1
318, 0.5, be, 1
319, 0.0, kinda, 1
320, 0.5882, do, 1
321, 0.5882, do, 1
322, 0.8, feel, 1
323, 0.5, think, 1
324, 0.6667, sound, 1
325, 0.0, dont, 1
326, 0.5, know, 1
327, 0.8, want, 1
328, 0.875, try, 1
329, 0.8571, way, 1
330, 0.8, want, 1
331, 0.8, feel, 1
332, 0.0, probaby, 1
333, 0.4, depend, 1
334, 0.6, guy, 1
335, 0.7059, trust, 1
336, 0.5882, do, 1
337, 0.6667, sound, 1
338, 0.5, know, 1
339, 0.0, youre, 1
340, 0.5882, do, 1
341, 0.0, Lol, 1
342, 0.0, yah, 1
343, 0.6667, get, 1
344, 0.0, pregger, 1
345, 1.0, Use, 1
346, 0.2353, condom, 1
347, 0.5, be, 1
348, 0.0, bitrh, 1
349, 1.0, control, 1
350, 0.75, pull, 1
351, 0.2222, Hillary, 1
352, 0.0, lol, 1
353, 0.0, dont, 1
354, 0.5, know, 1
355, 0.2353, condom, 1
356, 0.8, wear, 1
357, 0.2353, condom, 1
358, 0.625, birth, 1
359, 1.0, control, 1
360, 0.0, Taht, 1
361, 0.0, woudl, 1
362, 0.5, suck, 1
363, 0.5, be, 1
364, 0.7059, crash, 1
365, 0.0, !!!, 1
366, 0.5, like, 1
367, 0.5, be, 1
368, 0.0, Thats, 1
369, 0.3333, yea, 1
370, 0.3529, yay, 1
371, 0.7059, wish, 1
372, 0.0, werent, 1
373, 0.0, lol, 1
374, 0.5, be, 1
375, 0.2, gramma, 1
376, 0.6667, home, 1
377, 0.8235, part, 1
378, 0.625, day, 1
379, 0.875, work, 1
380, 0.6667, night, 1
381, 0.0, that, 1
382, 0.5, be, 1
383, 0.0, til, 1
384, 0.7778, end, 1
385, 0.6, tell, 1
386, 0.1818, mom, 1
387, 0.5, like, 1
388, 0.0, dont, 1
389, 0.75, wait, 1
390, 0.0, lol, 1
391, 0.0, lol, 1
392, 0.0, yeah, 1
393, 0.4444, kind, 1
394, 0.375, April, 1
395, 0.5455, let, 1
396, 0.875, practice, 1
397, 0.7059, wish, 1
398, 0.0, Thatd, 1
399, 0.5, be, 1
400, 0.0, dont, 1
401, 0.5, know, 1
402, 0.6667, get, 1
403, 0.2, gramma, 1
404, 0.5, be, 1
405, 0.8235, go, 1
406, 0.4, shed, 1
407, 0.75, have, 1
408, 0.875, work, 1
409, 0.4615, n, 1
410, 0.0, couldnt, 1
411, 0.8235, go, 1
412, 0.1818, mom, 1
413, 0.7778, chicago, 1
414, 0.0, dont, 1
415, 0.5, know, 1
416, 0.1818, dad, 1
417, 0.5, be, 1
418, 0.7059, wish, 1
419, 0.5, come, 1
420, 0.4615, n, 1
421, 0.6667, see, 1
422, 0.6, tell, 1
423, 1.0, promise, 1
424, 0.4286, guess, 1
425, 0.8, want, 1
426, 0.7059, talk, 1
427, 0.5, be, 1
428, 0.1818, mom, 1
429, 0.8235, care, 1
430, 0.8, stay, 1
431, 0.75, meet, 1
432, 0.0, Thatd, 1
433, 0.5, be, 1
434, 0.5, wont, 1
435, 0.6, tell, 1
436, 0.2, gramma, 1
437, 0.0, anything, 1
438, 0.0, dont, 1
439, 0.6667, get, 1
440, 0.8235, trouble, 1
441, 0.6667, get, 1
442, 0.8235, trouble, 1
443, 0.25, winner, 1
444, 0.75, have, 1
445, 0.4444, kind, 1
446, 0.0, Whats, 1
447, 0.7059, voice, 1
448, 0.6667, sound, 1
449, 0.0, lol, 1
450, 0.0, duobt, 1
451, 0.75, doubt, 1
452, 0.0, Lol, 1
453, 0.8, want, 1
454, 0.7059, call, 1
455, 0.2, gramma, 1
456, 0.875, work, 1
457, 0.4615, n, 1
458, 0.75, have, 1
459, 0.6, phone, 1
460, 0.5, card, 1
461, 0.7059, call, 1
462, 0.4615, n, 1
463, 0.7692, stuff, 1
464, 0.6, phone, 1
465, 0.5, die, 1
466, 0.0, neway, 1
467, 0.6667, pic, 1
468, 0.625, say, 1
469, 0.0, dan, 1
470, 0.5, be, 1
471, 0.0, yaeh, 1
472, 0.0, thatd, 1
473, 0.5, be, 1
474, 0.7143, lot, 1
475, 0.0, lol, 1
476, 0.0, Lol, 1
477, 0.6667, see, 1
478, 0.375, june, 1
479, 0.6, tell, 1
480, 0.1818, mom, 1
481, 0.5, like, 1
482, 0.0, raelly, 1
483, 0.5, be, 1
484, 0.5, be, 1
485, 0.625, worry, 1
486, 0.5882, do, 1
487, 0.5, like, 1
488, 0.3529, yay, 1
489, 0.8, want, 1
490, 0.0, lol, 1
491, 0.3529, yay, 1
492, 0.0, lol, 1
493, 0.3529, yay, 1
494, 0.0, Lol, 1
495, 0.0, yeah, 1
496, 0.6364, make, 1
497, 0.75, blush, 1
498, 0.5882, do, 1
499, 0.6667, sound, 1
500, 0.0, arent, 1
501, 0.5455, kid, 1
502, 0.5, be, 1
503, 0.5882, do, 1
504, 0.5, hear, 1
505, 0.7059, voice, 1
506, 0.5882, do, 1
507, 1.0, bet, 1
508, 0.6, tell, 1
509, 0.0, hacve, 1
510, 0.8235, go, 1
511, 0.625, room, 1
512, 0.0, doesnt, 1
513, 0.6667, reach, 1
514, 0.5, be, 1
515, 0.0, taht, 1
516, 0.4, ok, 1
517, 0.0, Uhhuh, 1
518, 0.5882, do, 1
519, 0.6, type, 1
520, 0.6, tell, 1
521, 0.5882, do, 1
522, 0.4615, n, 1
523, 0.5, wont, 1
524, 0.4615, minute, 1
525, 0.6667, click, 1
526, 0.5, cancel, 1
527, 0.6, type, 1
528, 0.5, be, 1
529, 0.7692, right, 1
530, 0.0, isnt, 1
531, 0.8, stay, 1
532, 0.0, dont, 1
533, 0.6667, get, 1
534, 0.5455, ground, 1
535, 0.5, wont, 1
536, 0.6, tell, 1
537, 0.0, anyone, 1
538, 0.7059, trust, 1
539, 0.5, be, 1
540, 0.5, be, 1
541, 0.0, gon, 1
542, 0.875, practice, 1
543, 0.7692, right, 1
544, 0.8235, go, 1
545, 0.7059, call, 1
546, 0.6667, closing, 1
547, 0.4615, n, 1
548, 0.8235, go, 1
549, 0.7059, call, 1
550, 0.2222, Verifier, 1
551, 0.0, ladybass, 1
552, 0.9231, word, 1
553, 0.7059, call, 1
554, 0.6, tell, 1
555, 0.6667, sound, 1
556, 0.4286, year, 1
557, 0.6, tell, 1
558, 0.5, be, 1
559, 0.875, try, 1
560, 0.7692, stuff, 1
561, 0.5, be, 1
562, 0.6667, concern, 1
563, 0.625, say, 1
564, 0.5, be, 1
565, 0.6, tell, 1
566, 0.5, be, 1
567, 0.75, have, 1
568, 0.7059, voice, 1
569, 0.6, tell, 1
570, 0.6, phone, 1
571, 0.5, be, 1
572, 0.5, die, 1
573, 0.7059, talk, 1
574, 0.0, online, 1
575, 0.625, say, 1
576, 0.4, ok, 1
577, 0.5, be, 1
578, 0.0, tyvm, 1
579, 0.0, ilke, 1
580, 0.0, tooo, 1
581, 0.75, have, 1
582, 0.7059, voice, 1
583, 0.0, everyone, 1
584, 0.5, mean, 1
585, 0.4615, thank, 1
586, 0.5, be, 1
587, 0.8, find, 1
588, 0.6364, make, 1
589, 0.0, msesag, 1
590, 0.6667, message, 1
591, 0.5, be, 1
592, 0.5, be, 1
593, 0.75, pick, 1
594, 0.0, lol, 1
595, 0.5, be, 1
596, 0.0, gon, 1
597, 0.5, be, 1
598, 0.3077, lr, 1
599, 0.0, ?!, 1
600, 0.0, Thats, 1
601, 0.5, mean, 1
602, 0.5, be, 1
603, 0.5, be, 1
604, 0.0, Thats, 1
605, 0.0, lol, 1
606, 0.5, be, 1
607, 0.2353, listener, 1
608, 0.0, dont, 1
609, 0.6667, mind, 1
610, 0.5, like, 1
611, 0.0, lol, 1
612, 0.0, Happylilgrrl, 1
613, 0.0, lol, 1
614, 0.75, have, 1
615, 0.8235, go, 1
616, 0.6667, get, 1
617, 0.375, dinner, 1
618, 0.2, gramma, 1
619, 0.5, come, 1
620, 0.6667, home, 1
621, 0.5, be, 1
622, 0.5714, tomorrow, 1
623, 0.6667, night, 1
624, 0.875, try, 1
625, 0.5, be, 1
626, 0.5, be, 1
627, 0.75, have, 1
628, 0.7143, finish, 1
629, 0.7692, stuff, 1
630, 0.0, lol, 1
631, 0.5, know, 1
632, 0.8, feeling, 1
633, 0.5, like, 1
634, 0.4615, n, 1
635, 0.6667, night, 1
636, 0.625, day, 1
637, 0.3529, thursday, 1
638, 0.875, work, 1
639, 0.0, something, 1
640, 0.75, have, 1
641, 0.875, work, 1
642, 0.5882, do, 1
643, 0.75, have, 1
644, 0.6364, clean, 1
645, 0.0, lol, 1
646, 0.4615, nothing, 1
647, 0.8, stay, 1
648, 0.6667, night, 1
649, 0.4615, n, 1
650, 0.7368, watch, 1
651, 0.1739, goony, 1
652, 0.0, Yah, 1
653, 0.6667, movie, 1
654, 0.5, be, 1
655, 0.75, have, 1
656, 0.5, be, 1
657, 0.5, be, 1
658, 0.0, ive, 1
659, 0.5, think, 1
660, 0.5882, do, 1
661, 0.5, disappear, 1
662, 0.0, Aww, 1
663, 0.5, be, 1
