number,control,word,label
1, 0.4, hi, 1
2, 0.5, be, 1
3, 0.0, becky, 1
4, 0.2222, ky, 1
5, 0.5, be, 1
6, 0.75, have, 1
7, 0.2222, boyfriend, 1
8, 0.7059, break, 1
9, 0.8235, move, 1
10, 0.5, mean, 1
11, 0.5882, do, 1
12, 0.7143, sex, 1
13, 0.5882, do, 1
14, 0.5882, do, 1
15, 0.5882, do, 1
16, 0.7143, sex, 1
17, 0.5882, do, 1
18, 0.5, be, 1
19, 0.75, scare, 1
20, 0.6667, get, 1
21, 0.2222, boyfriend, 1
22, 0.5882, do, 1
23, 0.75, have, 1
24, 0.0, comdom, 1
25, 0.5882, do, 1
26, 0.5882, do, 1
27, 0.5, send, 1
28, 0.7143, picture, 1
29, 0.6667, email, 1
30, 0.6667, get, 1
31, 0.5882, profile, 1
32, 0.75, wait, 1
33, 0.8235, go, 1
34, 0.0, Omg, 1
35, 0.0, sooo, 1
36, 0.5, be, 1
37, 0.5, be, 1
38, 0.0, sendf, 1
39, 0.2222, silly, 1
40, 0.0, Hehehe, 1
41, 0.1818, dad, 1
42, 0.5, send, 1
43, 0.4615, web, 1
44, 0.2222, cam, 1
45, 0.1818, mom, 1
46, 0.7059, break, 1
47, 0.6, hammer, 1
48, 0.0, screme, 1
49, 0.5, be, 1
50, 0.0, talkin, 1
51, 0.1818, dad, 1
52, 0.0, hatez, 1
53, 0.75, have, 1
54, 0.0, dayz, 1
55, 0.8, find, 1
56, 0.0, dont, 1
57, 0.75, have, 1
58, 0.5, be, 1
59, 0.4, suppose, 1
60, 0.6667, give, 1
61, 0.5882, number, 1
62, 0.0, dont, 1
63, 0.5, know, 1
64, 0.2667, haft, 1
65, 0.7059, call, 1
66, 0.1818, dad, 1
67, 0.7059, call, 1
68, 0.5, card, 1
69, 0.1818, mom, 1
70, 0.0, dont, 1
71, 0.5, know, 1
72, 0.1818, dad, 1
73, 0.5, send, 1
74, 0.7059, call, 1
75, 0.0, cardz, 1
76, 0.0, hehehe, 1
77, 0.0, kinda, 1
78, 0.5, cool, 1
79, 0.0, omg, 1
80, 0.5, know, 1
81, 0.5882, do, 1
82, 0.1818, mom, 1
83, 0.5, be, 1
84, 0.875, work, 1
85, 0.4286, weekend, 1
86, 0.6667, get, 1
87, 0.2857, ta, 1
88, 0.0, promis, 1
89, 0.6, tell, 1
90, 0.2353, nobody, 1
91, 0.4, swear, 1
92, 0.0, momz, 1
93, 0.0, qould, 1
94, 0.6316, kill, 1
95, 0.375, Hospital, 1
96, 0.25, lab, 1
97, 0.5, be, 1
98, 0.0, gon, 1
99, 0.6, tell, 1
100, 0.0, imn, 1
101, 0.0, scard, 1
102, 0.6, tell, 1
103, 0.6667, get, 1
104, 0.0, truble, 1
105, 0.5263, prom, 1
106, 0.6, tell, 1
107, 0.0, kk, 1
108, 0.5, be, 1
109, 0.6667, see, 1
110, 0.0, cincy, 1
111, 0.0, clifton, 1
112, 0.7059, call, 1
113, 0.0, Dont, 1
114, 0.7059, call, 1
115, 0.7778, show, 1
116, 0.2353, caller, 1
117, 0.5714, id, 1
118, 0.0, Momz, 1
119, 0.6667, get, 1
120, 0.625, room, 1
121, 0.8, clear, 1
122, 0.5, be, 1
123, 0.0, scard, 1
124, 0.6667, get, 1
125, 0.0, caut, 1
126, 0.4286, guess, 1
127, 0.7778, house, 1
128, 0.2353, nobody, 1
129, 0.7059, talk, 1
130, 0.6, phone, 1
131, 0.6667, hang, 1
132, 0.6, phone, 1
133, 0.5882, number, 1
134, 0.6667, give, 1
135, 0.4, Boo, 1
136, 0.6, name, 1
137, 0.5, be, 1
138, 0.5, be, 1
