number,person,word,label
243, 0.2857, taste, 1
244, 0.2105, kind, 1
245, 0.0, yah, 1
246, 0.375, be, 1
247, 0.2222, say, 1
248, 0.2857, taste, 1
249, 0.2857, taste, 1
250, 0.0, seem, 1
251, 0.0, thatd, 1
252, 0.375, be, 1
253, 0.2105, kind, 1
254, 0.0, fu, 1
255, 0.25, fun, 1
256, 0.3333, tell, 1
257, 0.7143, bit, 1
258, 0.2222, do, 1
259, 1.0, guy, 1
260, 0.2222, do, 1
261, 0.0, that, 1
262, 0.2667, cool, 1
263, 0.0, tkae, 1
264, 0.2667, practice, 1
265, 0.6667, wan, 1
266, 0.375, be, 1
267, 0.0, that, 1
268, 0.2667, cool, 1
269, 0.2, think, 1
270, 0.0, dunno, 1
271, 0.375, be, 1
272, 0.0, suppose, 1
273, 0.2222, do, 1
274, 0.0, lol, 1
275, 0.0, eat, 1
276, 0.0, that, 1
277, 0.375, be, 1
278, 1.0, kid, 1
279, 0.375, come, 1
280, 0.375, be, 1
281, 0.2, think, 1
282, 0.0, Uhhuh, 1
283, 0.2105, kind, 1
284, 0.2222, say, 1
285, 0.0, lol, 1
286, 0.2222, bet, 1
287, 0.3333, feel, 1
288, 0.3333, ok, 1
289, 0.0, lol, 1
290, 0.3333, ok, 1
291, 0.2222, do, 1
292, 0.2353, wont, 1
293, 0.2222, do, 1
294, 0.0, anything, 1
295, 0.3333, ok, 1
296, 0.0, dunno, 1
297, 0.2, think, 1
298, 0.4, want, 1
299, 0.0, kidna, 1
300, 0.0, kinda, 1
301, 0.7143, bit, 1
302, 0.4, sound, 1
303, 0.3158, thigh, 1
304, 0.8333, mesh, 1
305, 0.0, onse, 1
306, 0.2222, one, 1
307, 0.2353, tickle, 1
308, 0.2105, kind, 1
309, 0.4, sound, 1
310, 0.0, couldnt, 1
311, 0.4444, reach, 1
312, 0.3158, thigh, 1
313, 0.25, guess, 1
314, 0.375, be, 1
315, 0.0, kinda, 1
316, 0.2222, know, 1
317, 0.375, be, 1
318, 0.375, be, 1
319, 0.0, kinda, 1
320, 0.2222, do, 1
321, 0.2222, do, 1
322, 0.3333, feel, 1
323, 0.2, think, 1
324, 0.4, sound, 1
325, 0.0, dont, 1
326, 0.2222, know, 1
327, 0.4, want, 1
328, 0.2353, try, 1
329, 0.9091, way, 1
330, 0.4, want, 1
331, 0.3333, feel, 1
332, 0.0, probaby, 1
333, 0.0, depend, 1
334, 1.0, guy, 1
335, 0.2667, trust, 1
336, 0.2222, do, 1
337, 0.4, sound, 1
338, 0.2222, know, 1
339, 0.0, youre, 1
340, 0.2222, do, 1
341, 0.0, Lol, 1
342, 0.0, yah, 1
343, 0.1739, get, 1
344, 0.0, pregger, 1
345, 0.375, Use, 1
346, 0.7143, condom, 1
347, 0.375, be, 1
348, 0.0, bitrh, 1
349, 0.7143, control, 1
350, 0.7692, pull, 1
351, 0.3333, Hillary, 1
352, 0.0, lol, 1
353, 0.0, dont, 1
354, 0.2222, know, 1
355, 0.7143, condom, 1
356, 0.8333, wear, 1
357, 0.7143, condom, 1
358, 1.0, birth, 1
359, 0.7143, control, 1
360, 0.0, Taht, 1
361, 0.0, woudl, 1
362, 0.3529, suck, 1
363, 0.375, be, 1
364, 0.25, crash, 1
365, 0.0, !!!, 1
366, 0.2, like, 1
367, 0.375, be, 1
368, 0.0, Thats, 1
369, 0.2, yea, 1
370, 0.2105, yay, 1
371, 0.2353, wish, 1
372, 0.0, werent, 1
373, 0.0, lol, 1
374, 0.375, be, 1
375, 0.8235, gramma, 1
376, 0.7692, home, 1
377, 0.5714, part, 1
378, 0.3333, day, 1
379, 0.7692, work, 1
380, 0.3333, night, 1
381, 0.0, that, 1
382, 0.375, be, 1
383, 0.0, til, 1
384, 0.9412, end, 1
385, 0.3333, tell, 1
386, 0.8421, mom, 1
387, 0.2, like, 1
388, 0.0, dont, 1
389, 0.25, wait, 1
390, 0.0, lol, 1
391, 0.0, lol, 1
392, 0.0, yeah, 1
393, 0.2105, kind, 1
394, 0.2222, April, 1
395, 0.3333, let, 1
396, 0.2667, practice, 1
397, 0.2353, wish, 1
398, 0.0, Thatd, 1
399, 0.375, be, 1
400, 0.0, dont, 1
401, 0.2222, know, 1
402, 0.1739, get, 1
403, 0.8235, gramma, 1
404, 0.375, be, 1
405, 0.3529, go, 1
406, 0.7143, shed, 1
407, 1.0, have, 1
408, 0.7692, work, 1
409, 0.5, n, 1
410, 0.0, couldnt, 1
411, 0.3529, go, 1
412, 0.8421, mom, 1
413, 0.3333, chicago, 1
414, 0.0, dont, 1
415, 0.2222, know, 1
416, 0.8421, dad, 1
417, 0.375, be, 1
418, 0.2353, wish, 1
419, 0.375, come, 1
420, 0.5, n, 1
421, 0.4211, see, 1
422, 0.3333, tell, 1
423, 0.25, promise, 1
424, 0.25, guess, 1
425, 0.4, want, 1
426, 0.2353, talk, 1
427, 0.375, be, 1
428, 0.8421, mom, 1
429, 0.2222, care, 1
430, 0.8333, stay, 1
431, 0.2222, meet, 1
432, 0.0, Thatd, 1
433, 0.375, be, 1
434, 0.2353, wont, 1
435, 0.3333, tell, 1
436, 0.8235, gramma, 1
437, 0.0, anything, 1
438, 0.0, dont, 1
439, 0.1739, get, 1
